dataset_name,task_id,task_name,instruction,num_traj,episode_done_count,success_rate,checkpoint_path,video_dir
libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,pick up the black bowl between the plate and the ramekin and place it on the plate,3,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-65000,
libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,pick up the black bowl next to the ramekin and place it on the plate,3,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-65000,
libero_spatial,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,pick up the black bowl from table center and place it on the plate,3,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-65000,
libero_spatial,3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,pick up the black bowl on the cookie box and place it on the plate,3,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-65000,
libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,3,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-65000,
libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,pick up the black bowl on the ramekin and place it on the plate,3,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-65000,
libero_spatial,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,pick up the black bowl next to the cookie box and place it on the plate,3,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-65000,
libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,pick up the black bowl on the stove and place it on the plate,3,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-65000,
libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,pick up the black bowl next to the plate and place it on the plate,3,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-65000,
libero_spatial,9,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,pick up the black bowl on the wooden cabinet and place it on the plate,3,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-65000,
libero_spatial,AVG,AVERAGE,Average success rate across all tasks (seed=20241201),30,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-65000,20251130_130349
